## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=picard/CollectInsertSizeMetrics/03_FL62_i12.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=bowtie2/Filtering/03_FL62_i12.filt.srt.nodup.bam OUTPUT=picard/CollectInsertSizeMetrics/03_FL62_i12.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 30 15:58:05 KST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
69	41	23	31	1999	91.509303	62.044395	2500000	FR	11	21	29	37	47	55	65	117	223	293	515			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
31	1
32	2
34	11
35	11202
36	20598
37	28628
38	26529
39	29737
40	46553
41	50624
42	48451
43	45930
44	46459
45	46483
46	46866
47	46101
48	43642
49	42586
50	45415
51	48311
52	45872
53	40617
54	38473
55	37397
56	36951
57	36011
58	34780
59	34141
60	33099
61	33070
62	32306
63	29990
64	28764
65	28369
66	28268
67	27400
68	26541
69	25621
70	24864
71	24421
72	23835
73	22627
74	22137
75	21636
76	21386
77	20878
78	20218
79	19507
80	19029
81	18664
82	18183
83	17563
84	17165
85	16558
86	16099
87	15834
88	15319
89	14662
90	14005
91	13683
92	13552
93	13239
94	12792
95	12533
96	12146
97	12020
98	11461
99	10960
100	10470
101	10408
102	10151
103	9957
104	9578
105	9438
106	9437
107	9057
108	8737
109	8256
110	8072
111	7787
112	7645
113	7572
114	7413
115	7226
116	7231
117	7011
118	7002
119	6657
120	6352
121	6284
122	5976
123	5866
124	5745
125	5771
126	5816
127	5606
128	5368
129	5202
130	5102
131	5044
132	5004
133	4530
134	4662
135	4615
136	4754
137	5007
138	5205
139	5112
140	4692
141	4681
142	4311
143	4016
144	3725
145	3739
146	3817
147	4109
148	4581
149	5011
150	6235
151	7484
152	6811
153	4988
154	4017
155	3610
156	3629
157	3779
158	3975
159	4251
160	4222
161	4354
162	4161
163	3834
164	3969
165	4361
166	4758
167	5058
168	5094
169	4806
170	4550
171	4302
172	4207
173	4062
174	4390
175	4833
176	4992
177	5073
178	4689
179	4475
180	4319
181	4169
182	4130
183	4034
184	4077
185	4103
186	4363
187	4190
188	4117
189	4097
190	4091
191	3932
192	3868
193	3784
194	3758
195	3959
196	3899
197	3728
198	3702
199	3576
200	3601
201	3426
202	3424
203	3364
204	3503
205	3322
206	3286
207	3267
208	3127
209	2980
210	2893
211	2902
212	2782
213	2791
214	2796
215	2665
216	2618
217	2576
218	2466
219	2346
220	2229
221	2264
222	2177
223	2072
224	2006
225	2072
226	1944
