## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=picard/CollectInsertSizeMetrics/13_FL17_i22.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=bowtie2/Filtering/13_FL17_i22.filt.srt.nodup.bam OUTPUT=picard/CollectInsertSizeMetrics/13_FL17_i22.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 30 16:00:49 KST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
65	41	20	32	1998	89.230915	63.833411	2500000	FR	9	19	27	35	41	49	59	115	229	305	545			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
32	1
33	3
34	11
35	15056
36	26798
37	35430
38	34407
39	38436
40	53004
41	57462
42	57033
43	54260
44	54634
45	53621
46	51100
47	48639
48	45638
49	44302
50	46969
51	50480
52	49515
53	44155
54	41629
55	40185
56	38459
57	36381
58	34216
59	32652
60	32173
61	32683
62	32052
63	30725
64	29649
65	28665
66	27725
67	26405
68	25040
69	23972
70	22953
71	22621
72	22433
73	22094
74	21075
75	20720
76	20397
77	19518
78	18460
79	17293
80	16660
81	16255
82	16157
83	16026
84	15659
85	15378
86	14834
87	14178
88	13415
89	12648
90	12174
91	11739
92	11537
93	11569
94	11568
95	11125
96	10724
97	10519
98	9864
99	9386
100	8876
101	8706
102	8436
103	8486
104	8438
105	8421
106	8174
107	8002
108	7530
109	7052
110	6864
111	6535
112	6383
113	6278
114	6410
115	6335
116	6348
117	5984
118	5953
119	5747
120	5290
121	5075
122	5010
123	4887
124	4939
125	5029
126	4878
127	4825
128	4746
129	4560
130	4267
131	4161
132	4020
133	3841
134	3965
135	4053
136	4096
137	4397
138	4745
139	4487
140	4082
141	3921
142	3616
143	3401
144	3282
145	3325
146	3481
147	3761
148	4251
149	4764
150	6102
151	7710
152	6926
153	4797
154	3538
155	3331
156	3392
157	3458
158	3829
159	4103
160	4050
161	4045
162	3824
163	3759
164	3642
165	3997
166	4478
167	4970
168	4943
169	4796
170	4422
171	4290
172	4022
173	3966
174	4121
175	4507
176	4780
177	4715
178	4602
179	4364
180	4099
181	3930
182	3897
183	3757
184	3893
185	3908
186	3986
187	4104
188	3971
189	3757
190	3625
191	3592
192	3662
193	3617
194	3675
195	3578
196	3491
197	3504
198	3307
199	3266
200	3160
201	3177
202	3220
203	3217
204	3113
205	3224
206	3067
207	3173
208	2879
209	2736
210	2743
211	2652
212	2655
213	2651
214	2594
215	2499
216	2551
217	2445
218	2456
219	2296
220	2167
221	2059
222	2027
223	1945
224	1965
225	2003
226	1912
227	1932
228	1861
229	1763
230	1719
231	1601
232	1661
233	1557
234	1588
235	1513
236	1500
237	1490
238	1420
239	1364
240	1281
241	1245
242	1178
243	1164
244	1136
245	1179
246	1072
247	1068
248	1067
249	1035
250	1040
251	945
252	936
253	874
254	894
255	901
256	895
257	859
258	805
259	817
260	790
261	761
262	742
263	755
264	708
265	720
266	704
267	660
268	678
269	650
270	672
271	616
272	627
273	639
274	600
275	567
276	547
277	566
278	568
279	613
280	624
281	564
282	582
283	525
284	526
285	538
286	499
287	510
288	513
289	494
290	490
291	533
292	455
293	480
294	476
295	459
296	466
297	423
298	494
299	462
300	479
301	472
302	485
303	428
304	459
305	463
306	445
307	408
308	438
309	426
310	446
311	457
312	422
313	406
314	419
315	407
316	400
317	386
318	401
319	376
320	380
321	419
322	389
323	390
324	343
325	348
326	376
327	349
328	347
329	348
330	372
331	357
332	339
333	368
334	326
335	319
336	310
337	331
338	303
339	327
340	303
341	332
342	347
343	329
344	311
345	330
346	312
347	292
348	308
349	284
350	299
351	289
352	323
353	267
354	274
355	294
356	291
357	264
358	287
359	264
360	259
361	274
362	265
363	260
364	256
365	235
366	248
367	265
368	260
369	221
370	241
371	229
372	244
373	243
374	255
375	257
376	209
377	228
378	233
379	215
380	220
381	206
382	199
383	206
384	210
385	197
386	185
387	195
388	193
389	185
390	195
391	183
392	162
393	186
394	180
395	175
396	189
397	161
398	164
399	179
400	143
401	168
402	142
403	144
404	150
405	147
406	147
407	127
408	133
409	122
410	116
411	115
412	123
413	122
414	109
415	105
416	115
417	108
418	104
419	94
420	93
421	95
422	97
423	82
424	105
425	59
426	80
427	84
428	70
429	79
430	92
431	74
432	78
433	78
434	69
435	80
436	76
437	85
438	70
439	62
440	66
441	68
442	59
443	63
444	63
445	49
446	50
447	33
448	64
449	48
450	49
451	52
452	50
453	68
454	50
455	29
456	58
457	60
458	40
459	38
460	56
461	45
462	55
463	43
464	43
465	32
466	40
467	35
468	40
469	44
470	50
471	42
472	31
473	36
474	35
475	31
476	30
477	35
478	40
479	33
480	36
481	38
482	38
483	34
484	29
485	32
486	25
487	33
488	33
489	23
490	33
491	31
492	30
493	30
494	41
495	26
496	29
497	29
498	23
499	22
500	33
501	24
502	27
503	21
504	33
505	19
506	23
507	16
508	26
509	18
510	21
511	24
512	25
513	15
514	22
515	21
516	18
517	22
518	19
519	24
520	23
521	19
522	24
523	18
524	16
525	25
526	19
527	14
528	9
529	14
530	22
531	21
532	23
533	21
534	15
535	21
536	15
537	11
538	12
539	17
540	12
541	13
542	9
543	14
544	18
545	15
546	9
547	7
548	13
549	14
550	12
551	7
552	9
553	11
554	7
555	15
556	13
557	9
558	11
559	12
560	16
561	9
562	11
563	9
564	9
565	11
566	10
567	9
568	11
569	6
570	6
571	3
572	7
573	9
574	13
575	6
576	10
577	10
578	5
579	4
580	6
581	8
582	4
583	6
584	6
585	11
586	5
587	7
588	5
589	8
590	5
591	2
592	9
593	9
594	3
595	3
596	7
597	9
598	5
599	1
600	4
601	5
602	6
603	3
604	5
605	6
