## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=picard/CollectInsertSizeMetrics/09_FL496_i14.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=bowtie2/Filtering/09_FL496_i14.filt.srt.nodup.bam OUTPUT=picard/CollectInsertSizeMetrics/09_FL496_i14.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 30 15:59:48 KST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
63	52	13	32	2000	72.525225	37.142564	2500000	FR	7	11	17	23	27	35	41	51	93	179	287			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
32	2
33	2
34	10
35	6061
36	11677
37	16947
38	18070
39	20902
40	32314
41	37017
42	39614
43	42315
44	46300
45	49114
46	51422
47	52465
48	51088
49	50554
50	54733
51	59141
52	59579
53	58556
54	58425
55	58500
56	57946
57	56583
58	53585
59	50666
60	49205
61	48843
62	49039
63	48097
64	47413
65	46384
66	45424
67	43658
68	40633
69	37789
70	35437
71	34890
72	33836
73	32752
74	32034
75	31155
76	30163
77	29256
78	27194
79	25071
80	23504
81	22892
82	21845
83	20883
84	20263
85	19797
86	19097
87	18131
88	16956
89	15803
90	14544
91	13772
92	13186
93	12699
94	12206
95	11944
96	11606
97	10849
98	10510
99	9412
100	8898
101	8471
102	8112
103	7617
104	7373
105	7121
106	6899
107	6795
108	6356
109	5974
110	5452
111	5096
112	4953
113	4603
114	4439
115	4310
116	4204
117	4186
118	3919
119	3771
120	3557
121	3367
122	3064
123	2843
124	2795
125	2679
126	2612
127	2588
128	2453
129	2446
130	2195
131	2118
132	1987
133	1757
134	1780
135	1736
136	1778
137	1899
138	2045
139	1977
140	1638
141	1606
142	1372
143	1245
144	1194
145	1166
146	1315
147	1548
148	1975
149	2359
150	3445
151	5089
152	4721
153	2789
154	1582
155	1360
156	1301
157	1485
158	1761
159	1959
160	2021
161	1901
162	1756
163	1639
164	1499
165	1648
166	1961
167	2471
168	2843
169	2874
170	2633
171	2613
172	2272
173	2014
174	1760
175	1725
176	1800
177	2099
178	2204
179	2253
180	2311
181	2313
182	2192
183	1903
184	1732
185	1555
186	1525
187	1611
188	1675
189	1804
190	1830
191	1979
192	2006
193	1984
194	1942
195	1625
196	1455
197	1303
198	1329
199	1294
200	1313
201	1311
202	1256
203	1282
204	1238
205	1267
206	1124
207	1036
208	935
209	865
210	838
211	825
212	769
213	787
214	781
215	720
216	687
217	676
218	639
219	578
220	502
221	499
222	471
223	439
224	410
225	423
226	389
227	389
228	329
229	340
230	324
231	285
232	247
233	253
234	235
235	208
236	214
237	184
238	206
239	178
240	176
241	145
242	141
243	161
244	151
245	115
246	117
247	115
248	121
249	114
250	96
251	83
252	95
253	85
254	79
255	71
256	82
257	72
258	66
259	80
260	77
261	52
262	70
263	55
264	66
265	39
266	41
267	59
268	44
269	53
270	46
271	45
272	56
273	42
274	37
275	38
276	33
277	31
278	36
279	34
280	35
281	48
282	42
283	48
284	43
285	20
286	33
287	24
288	34
289	26
290	34
291	28
292	31
293	31
294	33
295	32
296	24
297	21
298	32
299	26
300	19
301	27
302	33
303	30
304	29
305	29
306	27
307	24
308	14
309	22
310	29
311	29
312	31
313	30
314	37
315	28
316	17
317	18
318	17
319	21
320	18
321	27
322	22
323	24
324	23
325	22
326	27
327	17
328	12
329	16
330	23
331	17
332	9
333	17
334	19
335	13
336	13
337	8
338	13
339	17
340	16
341	9
342	17
343	15
344	18
345	8
346	12
347	6
348	12
349	12
350	17
351	7
352	11
353	13
354	9
355	9
356	8
357	10
358	3
359	9
360	5
361	5
362	3
363	4
364	6
365	2
366	8
367	8
368	3
369	7
370	5
371	5
372	8
373	7
374	6
375	7
376	4
377	4
378	4
379	7
380	6
381	5
382	2
383	5
384	11
385	4
386	3
387	2
388	2
389	7
390	7
391	3
392	5
393	4
394	8
395	3
396	3
397	6
398	8
399	5
400	4
401	4
402	3
403	2
404	3
405	3
406	3
407	5
408	5
409	3
410	3
411	4
413	2
414	7
415	3
416	4
417	2
418	4
419	4
420	6
421	4
422	6
423	6
424	7
425	3
426	3
427	4
428	5
429	6
430	1
431	1
432	3
434	3
435	5
436	4
439	3
440	5
441	1
442	1
443	5
444	5
445	1
446	1
447	6
448	2
449	1
450	3
451	4
452	2
453	2
454	4
455	6
456	4
457	4
459	3
460	3
461	1
462	2
463	4
464	1
465	2
466	1
467	1
469	5
470	3
471	2
472	1
473	3
474	2
475	3
476	2
477	2
478	1
479	4
480	3
481	1
482	2
483	3
484	2
485	1
486	1
487	2
488	3
490	1
491	3
492	1
493	4
494	5
496	2
498	1
500	3
501	2
502	1
503	1
504	2
505	3
506	1
507	1
508	4
509	1
511	3
512	4
513	1
514	2
515	3
518	3
519	3
520	2
521	3
522	1
523	3
524	4
525	5
526	2
527	1
528	2
529	3
530	1
531	3
532	4
533	3
534	1
536	2
537	3
538	3
539	1
540	2
541	1
542	1
543	5
544	5
545	2
546	2
547	3
548	2
549	1
550	1
551	1
552	3
553	2
554	2
555	5
556	3
557	1
558	1
559	4
561	1
562	1
563	2
564	2
565	1
566	1
567	2
568	2
569	3
573	1
574	3
575	2
576	1
577	2
578	2
580	2
581	2
582	2
583	5
584	1
586	1
587	4
589	2
590	2
592	2
594	1
595	5
596	2
597	1
598	1
599	2
600	2
601	2
602	2
603	1
604	4
605	3
606	4
607	2
608	1
609	1
610	4
612	2
613	3
614	2
615	3
616	4
617	1
618	1
619	6
620	1
621	1
622	2
623	3
624	2
625	1
626	1
627	1
628	1
629	3
630	4
631	3
632	1
633	5
634	1
636	1
637	1
638	2
639	4
640	1
641	1
642	3
643	2
644	6
645	3
646	3
648	2
649	5
650	2
651	2
652	3
653	3
654	3
655	1
656	3
657	1
658	1
659	3
660	1
661	2
662	1
663	3
665	5
666	4
667	3
668	7
669	1
670	3
671	4
672	2
673	2
674	5
675	5
677	5
678	2
679	2
680	2
681	4
682	4
684	3
685	1
686	4
687	2
688	1
689	4
691	5
692	3
694	1
695	2
696	3
697	2
698	2
700	2
701	2
702	3
703	2
704	4
705	1
706	5
707	1
708	1
709	4
711	1
712	1
713	1
714	2
715	2
717	4
718	1
719	2
720	2
721	3
722	2
723	3
724	1
725	2
726	2
728	5
729	3
730	3
731	2
732	2
733	5
735	1
736	1
737	3
738	6
739	2
740	3
741	3
742	2
743	1
744	4
746	1
747	3
748	4
749	3
750	2
751	2
752	3
753	1
754	4
756	3
757	4
758	1
759	2
760	3
761	1
763	4
764	3
765	3
766	2
767	6
768	5
769	3
770	3
771	1
772	4
774	5
775	3
776	2
777	4
